subject,window_start_s,condition,eda_mean,eda_std,bvp_mean,temp_mean,acc_mag_mean
S2,305.0,baseline,1.6128,0.0485,0.0085,35.814,63.3474
S2,310.0,baseline,1.5174,0.0144,4.5402,35.826,62.6634
S2,315.0,baseline,1.4619,0.0165,1.8691,35.824,63.3109
S2,320.0,baseline,1.3273,0.0786,-14.5412,35.818,63.2637
S2,325.0,baseline,1.289,0.0693,15.4246,35.806,63.2062
S2,330.0,baseline,1.1989,0.0854,-6.8826,35.814,66.137
S2,335.0,baseline,1.2704,0.117,-2.9026,35.822,64.5435
S2,340.0,baseline,1.1305,0.0997,19.3198,35.834,63.746
S2,345.0,baseline,1.2846,0.0184,-11.4157,35.79,63.3002
S2,350.0,baseline,1.1982,0.0559,-3.9922,35.79,63.5361
S2,355.0,baseline,1.1765,0.0359,0.2835,35.762,63.2621
S2,360.0,baseline,1.1682,0.0177,0.1367,35.754,63.1393
S2,365.0,baseline,1.1138,0.0172,2.6504,35.746,63.0674
S2,370.0,baseline,1.0458,0.0199,0.1808,35.718,63.0953
S2,375.0,baseline,0.9786,0.0194,0.1243,35.704,62.963
S2,380.0,baseline,0.9269,0.038,2.4442,35.676,63.1055
S2,385.0,baseline,0.8568,0.0209,-0.1975,35.698,63.6523
S2,390.0,baseline,0.8324,0.0087,-5.7776,35.708,63.4692
S2,395.0,baseline,0.8074,0.0071,6.122,35.694,63.6332
S2,400.0,baseline,0.775,0.0105,-4.8152,35.688,63.4439
S2,405.0,baseline,0.7528,0.0096,1.1474,35.694,63.3554
S2,410.0,baseline,0.7188,0.0096,0.5662,35.714,63.2621
S2,415.0,baseline,0.6896,0.0074,-0.4732,35.726,63.389
S2,420.0,baseline,0.7014,0.0095,-7.4937,35.734,63.4487
S2,425.0,baseline,0.6772,0.011,5.9012,35.73,63.4744
S2,430.0,baseline,0.653,0.007,2.5317,35.734,63.609
S2,435.0,baseline,0.6261,0.0073,-1.3727,35.758,63.3428
S2,440.0,baseline,0.6026,0.0068,1.0965,35.774,63.4846
S2,445.0,baseline,0.5801,0.0061,-0.8159,35.778,63.5542
S2,450.0,baseline,0.5584,0.0063,0.0637,35.798,63.6104
S2,455.0,baseline,0.5387,0.0056,-0.3562,35.802,63.5484
S2,460.0,baseline,0.5345,0.0119,-9.5101,35.814,63.626
S2,465.0,baseline,0.5004,0.0101,10.8105,35.826,63.5286
S2,470.0,baseline,0.4912,0.0061,1.0817,35.826,62.9936
S2,475.0,baseline,0.51,0.0295,-12.9467,35.842,64.9685
S2,480.0,baseline,0.5059,0.0253,11.1573,35.85,65.8288
S2,485.0,baseline,0.5037,0.0134,-2.7198,35.848,63.7874
S2,490.0,baseline,0.4985,0.0014,2.6038,35.856,63.3989
S2,495.0,baseline,0.5055,0.0105,5.3177,35.852,63.4965
S2,500.0,baseline,0.5086,0.007,-8.8569,35.836,63.3919
S2,505.0,baseline,0.5059,0.0066,3.2432,35.832,63.5069
S2,510.0,baseline,0.4887,0.0045,0.2537,35.814,63.208
S2,515.0,baseline,0.5022,0.0299,-3.1707,35.802,63.6146
S2,520.0,baseline,0.5233,0.004,3.5515,35.798,63.4362
S2,525.0,baseline,0.515,0.0032,0.3548,35.79,63.3149
S2,530.0,baseline,0.5068,0.0021,6.9344,35.786,63.4018
S2,535.0,baseline,0.4995,0.0029,-7.6674,35.786,63.3835
S2,540.0,baseline,0.4876,0.0035,-0.582,35.782,63.2691
S2,545.0,baseline,0.4743,0.0041,0.8051,35.782,63.2899
S2,550.0,baseline,0.4619,0.0035,-0.9889,35.786,63.3103
S2,555.0,baseline,0.4496,0.0036,0.7645,35.79,63.3229
S2,560.0,baseline,0.4366,0.0036,-0.6115,35.802,63.3065
S2,565.0,baseline,0.4237,0.0029,0.1333,35.81,63.329
S2,570.0,baseline,0.4143,0.0033,-0.3508,35.818,63.3137
S2,575.0,baseline,0.4052,0.0014,1.6749,35.83,63.3687
S2,580.0,baseline,0.3973,0.005,-1.8969,35.838,63.417
S2,585.0,baseline,0.3835,0.0038,0.2091,35.85,63.4927
S2,590.0,baseline,0.3721,0.0031,-0.6908,35.85,63.4413
S2,595.0,baseline,0.3729,0.0032,-0.0802,35.882,63.516
S2,600.0,baseline,0.3719,0.0086,-2.0166,35.894,63.3994
S2,605.0,baseline,0.372,0.0078,6.4279,35.902,63.4116
S2,610.0,baseline,0.3769,0.0117,-0.9201,35.898,63.3207
S2,615.0,baseline,0.3526,0.007,-3.4155,35.894,63.3412
S2,620.0,baseline,0.3517,0.0055,5.4957,35.89,63.7319
S2,625.0,baseline,0.3437,0.0043,-2.7077,35.886,63.9665
S2,630.0,baseline,0.3499,0.008,-4.0802,35.886,63.1304
S2,635.0,baseline,0.3389,0.0018,1.9568,35.874,63.2299
S2,640.0,baseline,0.3335,0.0056,5.008,35.872,63.4298
S2,645.0,baseline,0.3327,0.0135,-8.1118,35.852,63.5611
S2,650.0,baseline,0.3101,0.0034,5.2106,35.838,63.5722
S2,655.0,baseline,0.312,0.0128,-4.3671,35.832,63.3447
S2,660.0,baseline,0.2931,0.0029,3.3278,35.818,63.2441
S2,665.0,baseline,0.2861,0.0066,5.5082,35.81,63.326
S2,670.0,baseline,0.2932,0.0131,-8.5551,35.802,63.6606
S2,675.0,baseline,0.285,0.0086,10.3021,35.79,63.3221
S2,680.0,baseline,0.2699,0.0074,-9.4629,35.802,63.4822
S2,685.0,baseline,0.2614,0.0022,4.1534,35.786,63.2604
S2,690.0,baseline,0.2552,0.0018,-0.8198,35.778,63.3369
S2,695.0,baseline,0.2493,0.0019,-1.4756,35.758,63.2861
S2,700.0,baseline,0.2439,0.0018,-0.5469,35.75,63.8026
S2,705.0,baseline,0.2472,0.0091,-3.7341,35.758,63.3656
S2,710.0,baseline,0.2319,0.0013,6.4891,35.754,63.2913
S2,715.0,baseline,0.2293,0.0049,1.5658,35.766,63.4642
S2,720.0,baseline,0.2303,0.0086,-9.5098,35.75,63.5299
S2,725.0,baseline,0.2182,0.0015,7.5343,35.754,63.3619
S2,730.0,baseline,0.2132,0.0021,-0.5916,35.774,63.3992
S2,735.0,baseline,0.2071,0.0015,-0.8994,35.77,63.3743
S2,740.0,baseline,0.2026,0.0015,-0.1608,35.786,63.3305
S2,745.0,baseline,0.1987,0.0014,-0.5734,35.786,63.332
S2,750.0,baseline,0.1944,0.0015,-0.1648,35.81,63.3379
S2,755.0,baseline,0.1904,0.0017,0.1059,35.814,63.4157
S2,760.0,baseline,0.1865,0.0015,0.4078,35.83,63.395
S2,765.0,baseline,0.1835,0.0008,-0.3548,35.838,63.3675
S2,770.0,baseline,0.1813,0.0016,0.5572,35.85,63.3006
S2,775.0,baseline,0.1761,0.0016,-0.593,35.846,63.3224
S2,780.0,baseline,0.1786,0.0072,13.4367,35.886,63.6004
S2,785.0,baseline,0.174,0.0051,-15.8126,35.898,63.462
S2,790.0,baseline,0.1686,0.0016,4.0287,35.91,63.2255
S2,795.0,baseline,0.1666,0.0029,-0.4128,35.914,63.3825
S2,800.0,baseline,0.1773,0.0052,-1.0742,35.91,63.3586
S2,805.0,baseline,0.1734,0.0065,8.1014,35.906,63.5067
S2,810.0,baseline,0.1618,0.0011,-8.604,35.922,63.4929
S2,815.0,baseline,0.1602,0.0012,1.7388,35.894,63.388
S2,820.0,baseline,0.1576,0.001,0.0474,35.898,63.3123
S2,825.0,baseline,0.1554,0.001,-0.6963,35.894,63.3325
S2,830.0,baseline,0.1531,0.0012,-0.9817,35.886,63.2073
S2,835.0,baseline,0.1504,0.0014,0.2498,35.894,63.2203
S2,840.0,baseline,0.1479,0.0011,0.5272,35.902,63.2395
S2,845.0,baseline,0.1453,0.0016,0.0579,35.894,63.2271
S2,850.0,baseline,0.1483,0.007,-0.7252,35.898,63.3325
S2,855.0,baseline,0.1483,0.0012,1.1066,35.922,62.9662
S2,860.0,baseline,0.148,0.0008,-0.0929,35.93,62.9288
S2,865.0,baseline,0.1465,0.0008,-1.1899,35.934,62.9019
S2,870.0,baseline,0.1458,0.001,0.568,35.93,62.8533
S2,875.0,baseline,0.144,0.0009,0.2017,35.918,62.8749
S2,880.0,baseline,0.1433,0.0008,-0.2707,35.914,62.9375
S2,885.0,baseline,0.1417,0.0011,0.505,35.922,63.031
S2,890.0,baseline,0.141,0.0008,0.129,35.898,63.2297
S2,895.0,baseline,0.1356,0.0065,-2.6731,35.898,63.3354
S2,900.0,baseline,0.1298,0.0017,-0.0046,35.898,63.4919
S2,905.0,baseline,0.1296,0.0017,0.6895,35.91,63.0746
S2,910.0,baseline,0.127,0.0018,2.3026,35.894,63.5665
S2,915.0,baseline,0.1263,0.0016,0.1885,35.906,63.4979
S2,920.0,baseline,0.1246,0.001,-3.7654,35.91,63.3099
S2,925.0,baseline,0.1221,0.0013,3.1388,35.902,63.4615
S2,930.0,baseline,0.1203,0.0018,-3.2871,35.91,63.3889
S2,935.0,baseline,0.1201,0.0028,2.6432,35.894,63.438
S2,940.0,baseline,0.1173,0.0014,0.716,35.89,63.4023
S2,945.0,baseline,0.1158,0.0008,-0.1752,35.864,63.4499
S2,950.0,baseline,0.1147,0.0016,-0.1002,35.874,63.4706
S2,955.0,baseline,0.1146,0.0021,-3.5665,35.882,63.4451
S2,960.0,baseline,0.1113,0.0009,4.3707,35.874,63.332
S2,965.0,baseline,0.1098,0.0012,-0.2927,35.878,63.4586
S2,970.0,baseline,0.1099,0.0018,-3.3042,35.894,63.4467
S2,975.0,baseline,0.1083,0.0019,1.2591,35.878,63.3759
S2,980.0,baseline,0.106,0.001,3.102,35.898,63.4625
S2,985.0,baseline,0.105,0.0018,-1.7285,35.906,63.5141
S2,990.0,baseline,0.1037,0.0014,0.4571,35.898,63.5562
S2,995.0,baseline,0.1024,0.0012,-0.0772,35.91,63.255
S2,1000.0,baseline,0.1004,0.0011,-1.2859,35.906,63.3673
S2,1005.0,baseline,0.0996,0.0008,2.4123,35.898,63.4746
S2,1010.0,baseline,0.0989,0.0013,-1.5819,35.918,63.4242
S2,1015.0,baseline,0.0977,0.0011,-0.1806,35.926,63.5008
S2,1020.0,baseline,0.0966,0.001,0.977,35.918,63.4464
S2,1025.0,baseline,0.0958,0.0014,-1.0646,35.914,63.4804
S2,1030.0,baseline,0.0939,0.0012,0.6585,35.93,63.4921
S2,1035.0,baseline,0.0935,0.0013,-1.2279,35.93,63.4144
S2,1040.0,baseline,0.0962,0.005,7.0989,35.914,63.2702
S2,1045.0,baseline,0.1108,0.0015,-6.1067,35.942,63.0476
S2,1050.0,baseline,0.1126,0.0011,0.0485,35.946,63.1481
S2,1055.0,baseline,0.1133,0.001,-0.7421,35.954,63.0464
S2,1060.0,baseline,0.114,0.0009,1.1702,35.93,62.9951
S2,1065.0,baseline,0.1146,0.0011,-0.004,35.934,62.9926
S2,1070.0,baseline,0.1138,0.001,-0.6579,35.922,62.9802
S2,1075.0,baseline,0.1132,0.0014,0.2594,35.902,63.0659
S2,1080.0,baseline,0.1138,0.0012,0.0798,35.89,62.9532
S2,1085.0,baseline,0.1149,0.0009,0.7666,35.882,62.9541
S2,1090.0,baseline,0.1151,0.0012,-1.8185,35.858,62.9233
S2,1095.0,baseline,0.1154,0.0011,1.4317,35.844,62.9546
